date,system_name,paper_url,task_description,human_time_seconds,human_time_source,confidence,success_rate,num_trials,num_subtasks,category,sim_or_real,hardware,data_quality,is_frontier,success_type,notes
2016-03-01,Levine et al. Grasping,https://arxiv.org/abs/1603.02199,Grasp single object from bin,4,defended_estimate,high,80,800000,1,tabletop,real,Custom 7-DoF arms (14 robots),benchmark,TRUE,binary,800k grasp attempts across 14 robots over 2 months; ~80% grasp success
2018-01-01,Dex-Net 2.0/4.0,https://arxiv.org/abs/1703.09312,Bin picking - grasp novel objects,4,defended_estimate,high,93,40,1,tabletop,real,ABB YuMi,benchmark,TRUE,binary,93% grasp success on novel objects from bin
2018-06-27,QT-Opt,https://arxiv.org/abs/1806.10293,Vision-based closed-loop bin grasping of diverse objects,4,defended_estimate,high,96,580000,1,tabletop,real,7x KUKA LBR IIWA + parallel-jaw gripper,benchmark,TRUE,binary,96% grasp success on unseen objects; 580k+ real grasp attempts; learns regrasping strategies
2018-07-01,OpenAI Dactyl - Block,https://arxiv.org/abs/1808.00177,Reorient block to target face using in-hand manipulation,10,defended_estimate,high,80,100,1,tabletop,real,Shadow Dexterous Hand,benchmark,TRUE,binary,Sim-to-real via ADR. Median ~13 / mean ~26.4 consecutive successful rotations per trial; 50-rotation cap. ~80% reflects share of trials achieving >=1 successful rotation under best ADR config
2019-04-01,TossingBot,https://arxiv.org/abs/1903.11239,Pick object and toss into target bin,5,defended_estimate,high,85,10000,2,tabletop,real,UR5 + vacuum gripper,benchmark,FALSE,binary,85% success grasping+tossing; self-supervised; 10k+ real trials
2019-10-31,Form2Fit,https://arxiv.org/abs/1910.13675,Kit assembly: assemble multi-object kit via shape-matching pretext,30,defended_estimate,medium,94,20,4,tabletop,real,UR5e + suction gripper,paper_demo,TRUE,binary,ICRA 2020. 94.3% novel-kit assembly via shape-matching pretext objective. N=20 per condition (5 kits x 4 trials). Self-supervised on 12 hours of disassembly. Human time defended_estimate (paper reports no baseline)
2021-04-16,MT-Opt,https://arxiv.org/abs/2104.08212,Common-task lifting (head of 12-task multi-task fleet learning),10,defended_estimate,medium,89,100,1,tabletop,real,7x KUKA / Everyday Robots fleet,benchmark,FALSE,binary,Multi-task QT-Opt successor. Headline 89% on common-task lifting; multi-task transfer to rare/novel tasks ~50%. 800k+ shared real-robot episodes across 12 tasks. Direct precursor to RT-1 dataset pipeline
2021-09-01,Implicit Behavioral Cloning,https://arxiv.org/abs/2109.00137,"Push-block precise insertion (1mm tolerance, real Franka)",15,defended_estimate,medium,87,50,2,tabletop,real,Franka Panda,benchmark,FALSE,binary,CoRL 2021. Energy-based BC. ~87% on push-1d-block precise insertion vs ~55% explicit BC; 7 real-robot tasks total. N~50 per task. Human time defended_estimate
2021-10-12,RGB-Stacking,https://arxiv.org/abs/2110.06192,Stack 3 colored objects in canonical order (sim-to-real),15,defended_estimate,medium,82,200,2,tabletop,real,Rethink Sawyer + parallel-jaw gripper,benchmark,FALSE,binary,"DeepMind, CoRL 2021. Sim-to-real with one-step real-data improvement: 82% on training triplets (Skill Mastery) vs 54% on held-out test triplets (Skill Generalisation). 68% zero-shot from sim. ~200 episodes per triplet across 5 triplets"
2022-02-04,BC-Z,https://arxiv.org/abs/2202.02005,Multi-task manipulation: pick; wipe; knock (24 unseen tasks),8,defended_estimate,high,44,100,1,tabletop,real,Everyday Robots (12 robots),benchmark,FALSE,binary,44% avg on 24 unseen zero-shot tasks; 25.8k demos + 18.7k human videos
